25,BatchNorm2d,138,blocks.layers.2.layers.0.ghost1.primary_conv.layers.1.bn
26,Conv2d,145,blocks.layers.2.layers.0.ghost1.cheap_operation.layers.0.conv
27,BatchNorm2d,148,blocks.layers.2.layers.0.ghost1.cheap_operation.layers.1.bn
28,Conv2d,155,blocks.layers.2.layers.0.ghost1.short_conv.layers.0.conv
29,BatchNorm2d,158,blocks.layers.2.layers.0.ghost1.short_conv.layers.1.bn
30,Conv2d,161,blocks.layers.2.layers.0.ghost1.short_conv.layers.2.conv
31,BatchNorm2d,164,blocks.layers.2.layers.0.ghost1.short_conv.layers.3.bn
32,Conv2d,167,blocks.layers.2.layers.0.ghost1.short_conv.layers.4.conv
33,BatchNorm2d,170,blocks.layers.2.layers.0.ghost1.short_conv.layers.5.bn
34,Conv2d,177,blocks.layers.2.layers.0.ghost2.primary_conv.layers.0.conv
35,BatchNorm2d,180,blocks.layers.2.layers.0.ghost2.primary_conv.layers.1.bn
36,Conv2d,187,blocks.layers.2.layers.0.ghost2.cheap_operation.layers.0.conv
37,BatchNorm2d,190,blocks.layers.2.layers.0.ghost2.cheap_operation.layers.1.bn
38,Conv2d,204,blocks.layers.3.layers.0.ghost1.primary_conv.layers.0.conv
39,BatchNorm2d,207,blocks.layers.3.layers.0.ghost1.primary_conv.layers.1.bn
40,Conv2d,214,blocks.layers.3.layers.0.ghost1.cheap_operation.layers.0.conv
41,BatchNorm2d,217,blocks.layers.3.layers.0.ghost1.cheap_operation.layers.1.bn
42,Conv2d,224,blocks.layers.3.layers.0.ghost1.short_conv.layers.0.conv
43,BatchNorm2d,227,blocks.layers.3.layers.0.ghost1.short_conv.layers.1.bn
44,Conv2d,230,blocks.layers.3.layers.0.ghost1.short_conv.layers.2.conv
45,BatchNorm2d,233,blocks.layers.3.layers.0.ghost1.short_conv.layers.3.bn
46,Conv2d,236,blocks.layers.3.layers.0.ghost1.short_conv.layers.4.conv
47,BatchNorm2d,239,blocks.layers.3.layers.0.ghost1.short_conv.layers.5.bn
48,Conv2d,242,blocks.layers.3.layers.0.conv_dw.conv
49,BatchNorm2d,245,blocks.layers.3.layers.0.bn_dw.bn
50,Conv2d,250,blocks.layers.3.layers.0.se.conv_reduce.conv
51,Conv2d,254,blocks.layers.3.layers.0.se.conv_expand.conv
52,Conv2d,261,blocks.layers.3.layers.0.ghost2.primary_conv.layers.0.conv
