93,BatchNorm2d,452,ghostnet.blocks.layers.5.layers.0.shortcut.layers.1.bn
94,Conv2d,455,ghostnet.blocks.layers.5.layers.0.shortcut.layers.2.conv
95,BatchNorm2d,458,ghostnet.blocks.layers.5.layers.0.shortcut.layers.3.bn
96,Conv2d,468,ghostnet.blocks.layers.6.layers.0.ghost1.primary_conv.layers.0.conv
97,BatchNorm2d,471,ghostnet.blocks.layers.6.layers.0.ghost1.primary_conv.layers.1.bn
98,Conv2d,478,ghostnet.blocks.layers.6.layers.0.ghost1.cheap_operation.layers.0.conv
99,BatchNorm2d,481,ghostnet.blocks.layers.6.layers.0.ghost1.cheap_operation.layers.1.bn
100,Conv2d,488,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.0.conv
101,BatchNorm2d,491,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.1.bn
102,Conv2d,494,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.2.conv
103,BatchNorm2d,497,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.3.bn
104,Conv2d,500,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.4.conv
105,BatchNorm2d,503,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.5.bn
106,Conv2d,510,ghostnet.blocks.layers.6.layers.0.ghost2.primary_conv.layers.0.conv
107,BatchNorm2d,513,ghostnet.blocks.layers.6.layers.0.ghost2.primary_conv.layers.1.bn
108,Conv2d,520,ghostnet.blocks.layers.6.layers.0.ghost2.cheap_operation.layers.0.conv
109,BatchNorm2d,523,ghostnet.blocks.layers.6.layers.0.ghost2.cheap_operation.layers.1.bn
110,Conv2d,535,ghostnet.blocks.layers.6.layers.1.ghost1.primary_conv.layers.0.conv
111,BatchNorm2d,538,ghostnet.blocks.layers.6.layers.1.ghost1.primary_conv.layers.1.bn
112,Conv2d,545,ghostnet.blocks.layers.6.layers.1.ghost1.cheap_operation.layers.0.conv
113,BatchNorm2d,548,ghostnet.blocks.layers.6.layers.1.ghost1.cheap_operation.layers.1.bn
114,Conv2d,555,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.0.conv
115,BatchNorm2d,558,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.1.bn
116,Conv2d,561,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.2.conv
117,BatchNorm2d,564,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.3.bn
118,Conv2d,567,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.4.conv
119,BatchNorm2d,570,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.5.bn
120,Conv2d,577,ghostnet.blocks.layers.6.layers.1.ghost2.primary_conv.layers.0.conv
121,BatchNorm2d,580,ghostnet.blocks.layers.6.layers.1.ghost2.primary_conv.layers.1.bn
122,Conv2d,587,ghostnet.blocks.layers.6.layers.1.ghost2.cheap_operation.layers.0.conv
123,BatchNorm2d,590,ghostnet.blocks.layers.6.layers.1.ghost2.cheap_operation.layers.1.bn
124,Conv2d,602,ghostnet.blocks.layers.6.layers.2.ghost1.primary_conv.layers.0.conv
125,BatchNorm2d,605,ghostnet.blocks.layers.6.layers.2.ghost1.primary_conv.layers.1.bn
126,Conv2d,612,ghostnet.blocks.layers.6.layers.2.ghost1.cheap_operation.layers.0.conv
127,BatchNorm2d,615,ghostnet.blocks.layers.6.layers.2.ghost1.cheap_operation.layers.1.bn
128,Conv2d,622,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.0.conv
129,BatchNorm2d,625,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.1.bn
130,Conv2d,628,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.2.conv
131,BatchNorm2d,631,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.3.bn
132,Conv2d,634,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.4.conv
133,BatchNorm2d,637,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.5.bn
134,Conv2d,644,ghostnet.blocks.layers.6.layers.2.ghost2.primary_conv.layers.0.conv
135,BatchNorm2d,647,ghostnet.blocks.layers.6.layers.2.ghost2.primary_conv.layers.1.bn
136,Conv2d,654,ghostnet.blocks.layers.6.layers.2.ghost2.cheap_operation.layers.0.conv
